,title,price,address,no_bedrooms
305,2 Bedroom Apartment / Flat to Rent in Riverside,250000.0,Riverside,2
306,2 Bedroom Apartment / Flat to Rent in Kileleshwa,110000.0,"Kileleshwa, Kileleshwa",2
307,5 Bedroom Townhouse to Rent in Karen,350000.0,"Nandi Rd Karen, Karen",5
308,2 Bedroom Apartment / Flat to Rent in Kilimani,85000.0,Kilimani,2
309,2 Bedroom Apartment / Flat to Rent in Kilimani,215000.0,Kilimani,2
310,3 Bedroom Apartment / Flat to Rent in Westlands,100000.0,"Brookside drive westland, Westlands",3
311,5 Bedroom House to Rent in Lavington,275000.0,Lavington,5
312,Commercial Property to Rent in Westlands,330000.0,"Lower Kabete, Westlands",
313,3 Bedroom Apartment / Flat to Rent in Kilimani,130000.0,Kilimani,3
314,4 Bedroom Townhouse to Rent in Runda,200000.0,"Ruaka Rd Kitisuru, Runda",4
315,2 Bedroom Apartment / Flat to Rent in Langata,30000.0,Langata,2
